Code agence;Commune;Tournee;Code INSEE;Latitude;Longitude;CP;Zone;UM;Poids
NT14G;BRETTEVILLE SUR ODON;14G1, 19, 31, 57;14101;49.1663894653321;-0.414443999528881;14760;Zone 1;3913.0;210923.331
NT50T;BREUVILLE;11;50079;49.5369453430182;-1.67055594921111;50260;Zone 1;3.0;210.0
NT50S;BREVANDS;4;50080;49.3322219848629;-1.18944394588468;50500;Zone 2;3.0;306.0
NT14G;BREVILLE;38;14106;49.2402763366698;-0.226389005780219;14860;Zone 1;35.0;1083.3
NT50V;BREVILLE SUR MER;008-2, 10, 12, 17, 9;50081;48.8672218322753;-1.55444395542138;50290;Zone 2;85.0;4860.89
NT50T;BRICQUEBEC;1, 2, 3, 6, 7;50082;49.4716682434081;-1.62805604934692;50260;Zone 1;643.0;22448.075
NT50T;BRICQUEBEC EN COTENTIN;1, 11, 3, 6, 7;50082;49.4716682434081;-1.62805604934692;50260;Zone 1;268.0;14527.651
NT50T;BRICQUEBOSQ;1, 11;50083;49.5322227478033;-1.71694397926331;50340;Zone 1;17.0;1461.271
NT50S;BRICQUEVILLE;11;14107;49.288890838623;-0.961667001247426;14710;Zone 2;11.0;276.0
NT50V;BRICQUEVILLE LA BLOUETTE;16;50084;49.0341682434078;-1.4761110544205;50200;Zone 2;37.0;3724.938
NT50V;BRICQUEVILLE SUR MER;10, 13, 18, 3, 9;50085;48.915557861328;-1.5208330154419;50290;Zone 2;81.0;1134.005
NT61L;BRIEUX;24, 4, 95;61062;48.8405570983892;-0.0822219997644411;61160;Zone 3;116.0;2389.744
NT50T;BRILLEVAST;8;50086;49.6291656494138;-1.4116669893265;50330;Zone 1;2.0;259.0
NT61L;BRIOUZE;11, 23, 33, 35;61063;48.6983337402341;-0.367222011089322;61220;Zone 2;289.0;23523.587
NT50T;BRIX;1, 3, 4, 5, 6, 7;50087;49.5472221374509;-1.5783330202103;50700;Zone 1;481.0;19089.688000000002
NT50V;BROUAINS;15;50088;48.7230567932132;-0.967499971389746;50150;Zone 2;2.0;120.0
NT14G;BROUAY;20;14109;49.2161102294921;-0.561667025089261;14250;Zone 2;5.0;174.1
NT50S;BRUCHEVILLE;4;50089;49.3744430541991;-1.20611095428471;50480;Zone 2;6.0;220.0
NT14G;BRUCOURT;52, MAINIER;14110;49.2458343505861;-0.101667001843447;14160;Zone 1;3.0;612.0
NT61L;BRULLEMAIL;6;61064;48.6572227478027;0.33027800917625;61390;Zone 2;15.0;500.77099999999996
NT50V;BUAIS;11;50090;48.5230560302728;-0.968888998031641;50640;Zone 3;4.0;546.0
NT50V;BUAIS LES MONTS;11;50090;48.5230560302728;-0.968888998031641;50640;Zone 3;10.0;444.336
NT61L;BUBERTRE;7;61065;48.5961112976072;0.601388990879075;61190;Zone 3;8.0;662.0
NT14G;BUCEELS;23, 26;14111;49.1911125183112;-0.635833024978662;14250;Zone 2;22.0;1875.0
NT14G;BULLY;31, 50;14112;49.102;-0.40712;14320;Zone 1;18.0;81.481
NT50S;BURCY;14, 15;14113;48.8694458007813;-0.803332984447484;14410;Zone 2;14.0;9022.1
NT61L;BURE;16;61066;48.5175018310551;0.405000001192088;61170;Zone 2;3.0;273.0
