Agence entree reseau;Agence sortie reseau;D‚partement;INSEE;Cp;Ville;PS;Correspondant;Ligne depart;UM;Poids;Latitude;Longitude;Zone
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14026;14250;AUDRIEU;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;20;1;995;49.2072219848631;-0.594166994094859;Zone 2
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14026;14250;AUDRIEU;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;20;1;270;49.2072219848631;-0.594166994094859;Zone 2
NORMATRANS 50 VILLEDIEU;NORMATRANS 14 GRENTHEVILLE;14;14026;14250;AUDRIEU;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;140;1;240;49.2072219848631;-0.594166994094859;Zone 2
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 50 ST LO;14;14027;14260;AUNAY SUR ODON;[NT50S] NORMATRANS 50 ST LO;NT50S;502;1;495;49.0202789306639;-0.632499992847416;Zone 2
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 50 ST LO;14;14027;14260;LES MONTS D AUNAY;[NT50S] NORMATRANS 50 ST LO;NT50S;502;1;812.76;49.0202789306639;-0.632499992847416;Zone 2
NORMATRANS 50 VILLEDIEU;NORMATRANS 50 ST LO;14;14027;14260;LES MONTS D AUNAY;[NT50S] NORMATRANS 50 ST LO;NT50S;502;1;228;49.0202789306639;-0.632499992847416;Zone 2
NORMATRANS 50 ST LO;NORMATRANS 50 ST LO;14;14027;14260;LES MONTS D AUNAY;[NT50S] NORMATRANS 50 ST LO;NT50S;15;1;454;49.0202789306639;-0.632499992847416;Zone 2
NORMATRANS 50 ST LO;NORMATRANS 50 ST LO;14;14027;14260;LES MONTS D AUNAY;[NT50S] NORMATRANS 50 ST LO;NT50S;15;1;728;49.0202789306639;-0.632499992847416;Zone 2
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 50 ST LO;14;14027;14260;LES MONTS D AUNAY;[NT50S] NORMATRANS 50 ST LO;NT50S;502;1;316;49.0202789306639;-0.632499992847416;Zone 2
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 50 ST LO;14;14027;14260;AUNAY SUR ODON;[NT50S] NORMATRANS 50 ST LO;NT50S;502;1;65;49.0202789306639;-0.632499992847416;Zone 2
NORMATRANS 50 ST LO;NORMATRANS 50 ST LO;14;14027;14260;LES MONTS D AUNAY;[NT50S] NORMATRANS 50 ST LO;NT50S;15;3;1708;49.0202789306639;-0.632499992847416;Zone 2
NORMATRANS 50 VILLEDIEU;NORMATRANS 50 ST LO;14;14027;14260;LES MONTS D AUNAY;[NT50S] NORMATRANS 50 ST LO;NT50S;502;1;240;49.0202789306639;-0.632499992847416;Zone 2
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 50 ST LO;14;14027;14260;AUNAY SUR ODON;[NT50S] NORMATRANS 50 ST LO;NT50S;502;1;199.999;49.0202789306639;-0.632499992847416;Zone 2
